Company_Brand,Funding_Year,HeadQuarter,Sector,Amount($),Stage,Funding,Category
SOAL,2021,Mumbai,edtech,14285.71,Series A 1,Series_Stage,Technology
OckyPocky,2021,Gurugram,edtech,5714.29,Seed,Seed Stage,Technology
Hippo Video,2021,New York,video personalization,57142.86,Series A,Series_Stage,Technology
Hasura,2021,San Francisco,software company,357142.86,Series B,Series_Stage,Saas
Qapita,2021,Singapore,fintech,15428.57,Seed,Seed Stage,Technology
Sunday,2021,Bangkok,fintech,128571.43,Pre Series B,Others,Technology
Gamezop,2021,Gurugram,gaming,61428.57,Series A,Series_Stage,Others
Phool.co,2021,Kanpur,biomaterial startup,20000.0,Pre Series A,Pre_Series Stage,Startup
Chiratae Ventures,2021,Bangalore,venture capital,4710672.330723327,Seed Funding,Others,Finance
MedLife,2021,Bangalore,health,97142.86,Unknown,Others,Health
IDfy,2021,Mumbai,it,30142.86,Series A,Series_Stage,Others
True Balance,2021,Gurugram,finance,4710672.330723327,Series C,Series_Stage,Finance
Bira91,2021,New Delhi,craft beer,10914.29,Unknown,Others,Others
Max wholesale,2021,New Delhi,e-commerce,8614.29,Unknown,Others,Others
Craftsvilla,2021,Mumbai,e-commerce,5842.86,Unknown,Others,Others
MechMocha,2021,Bangalore,entertainment,4171.43,Series A,Series_Stage,Social
Mindhouse,2021,Gurugram,healthtech,4085.71,Unknown,Others,Technology
DeepSync,2021,Chandigarh,ai startup,1942.86,Unknown,Others,Ai
Eruditus,2021,Mumbai,education,4710672.330723327,Unknown,Others,Education
Gradeup,2021,Noida,education,7800.0,Unknown,Others,Education
Tracxn,2021,Bangalore,investment,12671.43,Series B,Series_Stage,Others
Purple Style Labs,2021,Mumbai,fashion,614.29,Unknown,Others,Beauty
ProPhysio,2021,Bangalore,health,584.29,Unknown,Others,Health
Flickstree,2021,Mumbai,tech,584.29,Unknown,Others,Technology
Settl,2021,Gurugram,traveltech,4710672.330723327,Unknown,Others,Technology
Fanspole,2021,Thane,entertainment,4710672.330723327,Pre Seed,Pre_Seed Stage,Social
Sarva,2021,Mumbai,healthcare,4710672.330723327,Unknown,Others,Transportation
Univ.ai,2021,Bangalore,edtech,4710672.330723327,Unknown,Others,Technology
PurohitJi,2021,Bangalore,linguistic spiritual,4710672.330723327,Unknown,Others,Others
CredoLab,2021,Singapore,tech,100000.0,Series A,Series_Stage,Technology
Brick&Bolt,2021,Bangalore,construction,31428.57,Series A,Series_Stage,Others
Grinntech,2021,Chennai,battery manufacturer,28571.43,Unknown,Others,Others
6Degree,2021,Mumbai,fashion,4857.14,Unknown,Others,Beauty
Exprs,2021,Unknown,nano distribution network,80857.14,Unknown,Others,Networking
Bikayi,2021,Hyderabad,e-commerce,28571.43,Seed Round,Others,Others
Virtual Forest,2021,Bangalore,tech,4710672.330723327,Unknown,Others,Technology
The Health company,2021,Gurugram,ai health,5000.0,Unknown,Others,Health
TrulyMadly Matchmakers,2021,Gurugram,dating app,1571.43,Pre Series A,Pre_Series Stage,Technology
TrueFan,2021,Mumbai,media,61428.57,Seed Round,Others,Others
Fanspole,2021,Mumbai,gaming,4710672.330723327,Pre Seed Round,Others,Others
Byju's,2021,Bangalore,edtech,1742857.14,Unknown,Others,Technology
Avail Finance,2021,Bangalore,fintech,166214.29,Series B,Series_Stage,Technology
The Money Club,2021,Delhi,ai,4710672.330723327,Unknown,Others,Ai
Virohan,2021,Gurgaon,healthcare/edtech,40000.0,Seed Round & Series A,Seed Stage,Technology
OneCode,2021,Gurugram,social commerce,4710672.330723327,Seed Round,Others,Social
Verloop.io,2021,Unknown,ai,71428.57,Unknown,Others,Ai
Otipy,2021,Unknown,agritech/commerce,14285.71,Pre Series A,Pre_Series Stage,Technology
Evage,2021,Chandigarh,mobility tech,4710672.330723327,Unknown,Others,Technology
LEAD School,2021,Mumbai,edtech,400000.0,Series C,Series_Stage,Technology
Trell,2021,Bangalore,social e-commerce,157142.86,Series A,Series_Stage,Social
Captain Fresh,2021,Bangalore,food & logistics,32857.14,Pre Series A,Pre_Series Stage,Transportation
Teachmint,2021,Bangalore,edtech,4710672.330723327,Unknown,Others,Technology
Pixxel,2021,Bangalore,spacetech,71428.57,Seed Round,Others,Technology
Habbit Health,2021,Delhi,nutrition tech,4710672.330723327,Pre Seed Round,Others,Technology
SmarterBiz,2021,Bangalore,tech,15214.29,Pre Series A,Pre_Series Stage,Technology
Able Jobs,2021,Bangalore,hr,28571.43,Unknown,Others,Others
Vieroots,2021,Kochi,healthtech,4710672.330723327,Unknown,Others,Technology
Stack Finance,2021,Bangalore,fintech,4710672.330723327,Seed Round,Others,Technology
FPL Technologies,2021,Pune,fintech,142857.14,Series A,Series_Stage,Technology
Masai School,2021,Bangalore,edtech,35714.29,Series A,Series_Stage,Technology
Mitron,2021,Bangalore,media,71428.57,Series A,Series_Stage,Others
Daalchini,2021,Unknown,iot,9557.14,Pre Series A,Pre_Series Stage,Others
Suno India,2021,Unknown,media,4710672.330723327,Angel Round,Later Stage,Others
LendingKart,2021,Ahmedabad,fintech,229657.14,Series D,Series_Stage,Technology
Text Mercato,2021,Bangalore,unknown,9280.0,Series A,Series_Stage,Others
Eden Smart Homes,2021,Unknown,iot,4710672.330723327,Unknown,Others,Others
GrayQuest,2021,Mumbai,edtech,14285.71,Pre Series A,Pre_Series Stage,Technology
BigHaat,2021,Bangalore,agritech,28571.43,Pre Series A,Pre_Series Stage,Technology
CityCash,2021,Mumbai,fintech,14285.71,Seed Round,Others,Technology
HomeLane,2021,Chennai,interior design,14285.71,Series D,Series_Stage,Real estate
HungerBox,2021,Bangalore,foodtech,95714.29,Series C,Series_Stage,Technology
DaveAI,2021,Bangalore,ai,4710672.330723327,Unknown,Others,Ai
Eduvanz,2021,Mumbai,fintech,71428.57,Series A,Series_Stage,Technology
ZipLoan,2021,Delhi,fintech,28571.43,Unknown,Others,Technology
DocSumo,2021,Mumbai,ai,3142.86,Seed Round,Others,Ai
CUSMAT,2021,Warangal,ar/vr,4710672.330723327,Unknown,Others,Others
Chingari,2021,Bangalore,media,18571.43,Seed Round,Others,Others
Bolo Indya,2021,Gurugram,media,4285.71,Pre Series A1,Others,Others
Data Sutram,2021,Kolkata,ai,3807.14,Unknown,Others,Ai
Wobot Intelligence,2021,Delhi,ai,35714.29,Pre Series A,Pre_Series Stage,Ai
DrinkPrime,2021,Bangalore,appliance,41128.57,Pre Series A,Pre_Series Stage,Technology
Infeedo,2021,Gurugram,hr tech,10000.0,Unknown,Others,Technology
Probus Smart Things,2021,Delhi,iot,4710672.330723327,Seed Round,Others,Others
CrowdPouch,2021,Bangalore,tech,4710672.330723327,Angel Round,Later Stage,Technology
Rebel Foods,2021,Mumbai,food tech,378571.43,Series E2,Series_Stage,Technology
Hevo,2021,Bangalore,tech,114285.71,Series A,Series_Stage,Technology
BigSpoon Foods,2021,Ahmedabad,foodtech,28571.43,Pre Series A,Pre_Series Stage,Technology
Chingari,2021,Bangalore,media,14285.71,Seed Round,Others,Others
ShareChat,2021,Bangalore,media,5014.29,Unknown,Others,Others
DatStop,2021,Delhi,hospitality,4710672.330723327,Unknown,Others,Others
IPHM Services,2021,Mumbai,mental health,4710672.330723327,Seed Round,Others,Health
Wellcure,2021,Gurugram,healthtech,2857.14,Unknown,Others,Technology
VilCart,2021,Bangalore,ecommerce,4710672.330723327,Bridge Round,Later Stage,Others
Firescore,2021,Mumbai,gaming,7142.86,Unknown,Others,Others
BulBul,2021,Gurgaon,social commerce,4710672.330723327,Unknown,Others,Social
Toppr,2021,Mumbai,edtech,668014.29,Series D,Series_Stage,Technology
Pickright Technologies,2021,Bangalore,fintech,2500.0,Seed Round,Others,Technology
Muse Wearables,2021,Chennai,tech,42857.14,Unknown,Others,Technology
SATYA Microcapital,2021,Delhi,fintech,4710672.330723327,Unknown,Others,Technology
WYN Studio,2021,Gurugram,media,4710672.330723327,Seed Round,Others,Others
